Max queue,Packet arrival count,Blocking rate,Total bits (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),
0, 1004785, 0.004762, 1000.000000, 0.099564, 1000000,0.99524,100.000, 1.048683, 
1, 1000175, 0.000175, 1000.000000, 0.100023, 1000000,0.99983,100.000, 1.055340, 
2, 1000003, 0.000003, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055763, 
3, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
4, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
5, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
6, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
7, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
8, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
9, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
10, 1000000, 0.000000, 1000.000000, 0.100039, 1000000,1.00000,100.000, 1.055774, 
