Link rate,Packet arrival count,Blocking rate,Total bits (Mbits),Output rate (Mbps),Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),,,,,,,,,,
50000,2135861,0.531804,1000,0.046835,1000000,0.4682,100,31.354809, ,2000000,1001212,0.001211,1000,0.099918,1000000,0.99879,100,0.512384
60000,1856281,0.461288,1000,0.053897,1000000,0.53871,100,25.221934, ,3000000,1000549,0.000549,1000,0.099985,1000000,0.99945,100,0.338872
70000,1668865,0.40079,1000,0.059947,1000000,0.59921,100,20.971158, ,4000000,1000300,0.0003,1000,0.10001,1000000,0.9997,100,0.253131
80000,1536978,0.349372,1000,0.065087,1000000,0.65063,100,17.867201, ,5000000,1000191,0.000191,1000,0.100021,1000000,0.99981,100,0.202009
90000,1440684,0.305885,1000,0.069438,1000000,0.69411,100,15.516416, ,6000000,1000134,0.000134,1000,0.100026,1000000,0.99987,100,0.168063
100000,1368239,0.269133,1000,0.073111,1000000,0.73087,100,13.67984, ,7000000,1000095,0.000095,1000,0.10003,1000000,0.99991,100,0.143885
200000,1106761,0.096463,1000,0.090401,1000000,0.90354,100,6.066963, ,8000000,1000068,0.000068,1000,0.100032,1000000,0.99993,100,0.125788
300000,1050052,0.047666,1000,0.095285,1000000,0.95233,100,3.832996, ,,,,,,,,,
400000,1028891,0.02808,1000,0.097229,1000000,0.97192,100,2.788907, ,,,,,,,,,
500000,1018806,0.018459,1000,0.098193,1000000,0.98154,100,2.187991, ,,,,,,,,,
600000,1013213,0.013041,1000,0.098732,1000000,0.98696,100,1.798732, ,,,,,,,,,
700000,1009754,0.00966,1000,0.099076,1000000,0.99034,100,1.526444, ,,,,,,,,,
800000,1007478,0.007422,1000,0.099298,1000000,0.99258,100,1.325416, ,,,,,,,,,
900000,1005899,0.005864,1000,0.099455,1000000,0.99414,100,1.171001, ,,,,,,,,,
1000000,1004785,0.004762,1000,0.099564,1000000,0.99524,100,1.048683, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
